campaignid,sample,reef,mean_relief
2020-10_south-west_stereo-BRUVs,IO259,0.935483871,2.64
2020-10_south-west_stereo-BRUVs,IO260,0.90625,2.461538462
2020-10_south-west_stereo-BRUVs,IO261,0.909090909,2.631578947
2020-10_south-west_stereo-BRUVs,IO262,0.828571429,2.3
2020-10_south-west_stereo-BRUVs,IO263,0.942857143,2.56
2020-10_south-west_stereo-BRUVs,IO264,0.451612903,1.636363636
2020-10_south-west_stereo-BRUVs,IO266,0.037037037,0.684210526
2020-10_south-west_stereo-BRUVs,IO267,0.387096774,1.740740741
2020-10_south-west_stereo-BRUVs,IO269,0.964285714,2.791666667
2020-10_south-west_stereo-BRUVs,IO272,0.888888889,2.428571429
2020-10_south-west_stereo-BRUVs,IO273,0.945945946,2.24
2020-10_south-west_stereo-BRUVs,IO275,0,0.961538462
2020-10_south-west_stereo-BRUVs,IO276,0.09375,1
2020-10_south-west_stereo-BRUVs,IO277,0.243243243,1.36
2020-10_south-west_stereo-BRUVs,IO278,0.078947368,0.913043478
2020-10_south-west_stereo-BRUVs,IO280,0.066666667,0.454545455
2020-10_south-west_stereo-BRUVs,IO290,0.162162162,0.956521739
2020-10_south-west_stereo-BRUVs,IO291,0,0
2020-10_south-west_stereo-BRUVs,IO293,0.259259259,0.615384615
2020-10_south-west_stereo-BRUVs,IO294,0.27027027,1.151515152
2020-10_south-west_stereo-BRUVs,IO295,0,0
2020-10_south-west_stereo-BRUVs,IO297,0,0
2020-10_south-west_stereo-BRUVs,IO298,0.027027027,0.3
2020-10_south-west_stereo-BRUVs,IO299,0.029411765,0.333333333
2020-10_south-west_stereo-BRUVs,IO3,0.916666667,2.727272727
2020-10_south-west_stereo-BRUVs,IO300,0.096774194,0.739130435
2020-10_south-west_stereo-BRUVs,IO302,0,0
2020-10_south-west_stereo-BRUVs,IO306,0,0.045454545
2020-10_south-west_stereo-BRUVs,IO307,0.117647059,0.8
2020-10_south-west_stereo-BRUVs,IO308,0.085714286,0.454545455
2020-10_south-west_stereo-BRUVs,IO310,0.333333333,1.444444444
2020-10_south-west_stereo-BRUVs,IO311,1,2.36
2020-10_south-west_stereo-BRUVs,IO312,0.62962963,2.2
2020-10_south-west_stereo-BRUVs,IO313,0,0.16
2020-10_south-west_stereo-BRUVs,IO319,0.131578947,1.076923077
2020-10_south-west_stereo-BRUVs,IO323,0.114285714,1.2
2020-10_south-west_stereo-BRUVs,IO324,0.058823529,0.75
2020-10_south-west_stereo-BRUVs,IO325,0.454545455,1.76
2020-10_south-west_stereo-BRUVs,IO326,0.297297297,1.846153846
2020-10_south-west_stereo-BRUVs,IO327,1,2.28
2020-10_south-west_stereo-BRUVs,IO328,0.923076923,2.875
2020-10_south-west_stereo-BRUVs,IO329,0,0
2020-10_south-west_stereo-BRUVs,IO330,0.72972973,2.142857143
2020-10_south-west_stereo-BRUVs,IO331,0,0
2020-10_south-west_stereo-BRUVs,IO332,0,0
2020-10_south-west_stereo-BRUVs,IO333,0.102040816,0.529411765
2020-10_south-west_stereo-BRUVs,IO334,0,0.12
2020-10_south-west_stereo-BRUVs,IO335,1,2.75
2020-10_south-west_stereo-BRUVs,IO336,0.939393939,2.444444444
2020-10_south-west_stereo-BRUVs,IO337,1,3
2020-10_south-west_stereo-BRUVs,IO338,0.1875,1.076923077
2020-10_south-west_stereo-BRUVs,IO339,1,2.8
2020-10_south-west_stereo-BRUVs,IO34,1,2.652173913
2020-10_south-west_stereo-BRUVs,IO343,0.054054054,0.64
2020-10_south-west_stereo-BRUVs,IO344,0.090909091,0.92
2020-10_south-west_stereo-BRUVs,IO349,0.138888889,0.95
2020-10_south-west_stereo-BRUVs,IO350,0.083333333,1
2020-10_south-west_stereo-BRUVs,IO351,0.03125,0.541666667
